{'fvalues': -1143.3125766214055, 'time_values': 1678.76953125}
{'fvalues': -1444.4023696410418, 'time_values': 1681.498291015625}
{'fvalues': -1299.6119630266119, 'time_values': 1682.6484375}
{'fvalues': -1323.3987506748256, 'time_values': 1678.1241455078125}
{'fvalues': -1313.1084920501264, 'time_values': 1681.3060302734375}
{'fvalues': -1218.0826082127242, 'time_values': 1680.401123046875}
{'fvalues': -1270.6019128525236, 'time_values': 1680.5732421875}
{'fvalues': -1154.834428137161, 'time_values': 1678.18994140625}
{'fvalues': -1382.1755611419856, 'time_values': 1680.6551513671875}
{'fvalues': -1297.0997096568506, 'time_values': 1674.1097412109375}
