{'fvalues': -249.5660770800799, 'time_values': 49.03533172607422}
{'fvalues': -219.07548746171705, 'time_values': 38.80974197387695}
{'fvalues': -4.5928822811724075, 'time_values': 38.21120834350586}
{'fvalues': -291.03743761047946, 'time_values': 38.44617462158203}
{'fvalues': -220.6147627495646, 'time_values': 38.85990905761719}
{'fvalues': -150.3653533441609, 'time_values': 38.71088790893555}
{'fvalues': -181.49861112520443, 'time_values': 38.76932144165039}
{'fvalues': -51.00681446918184, 'time_values': 38.67152404785156}
{'fvalues': 35.338841957817266, 'time_values': 38.70172882080078}
{'fvalues': -69.62500822208293, 'time_values': 38.017086029052734}
{'fvalues': -88.92989553145594, 'time_values': 37.84864807128906}
{'fvalues': -333.4988520292682, 'time_values': 38.770111083984375}
{'fvalues': -57.18109705128099, 'time_values': 38.65924072265625}
{'fvalues': 7.510139640355391, 'time_values': 38.652748107910156}
{'fvalues': -40.08053815173331, 'time_values': 38.844825744628906}
{'fvalues': 51.67850258384539, 'time_values': 38.82130432128906}
{'fvalues': -265.7499967640498, 'time_values': 38.844879150390625}
{'fvalues': -89.5718768499316, 'time_values': 38.14463806152344}
{'fvalues': -88.20332902939964, 'time_values': 38.804866790771484}
{'fvalues': -110.1696702013358, 'time_values': 38.54887390136719}
{'fvalues': -144.25937983378094, 'time_values': 38.70587158203125}
{'fvalues': 38.068025129414146, 'time_values': 38.50871658325195}
{'fvalues': -282.37873334392594, 'time_values': 38.67825698852539}
{'fvalues': -195.49320671697197, 'time_values': 38.54463577270508}
{'fvalues': -48.99051147635005, 'time_values': 36.876564025878906}
{'fvalues': -111.28380375226652, 'time_values': 37.79387283325195}
{'fvalues': 56.90392148404837, 'time_values': 38.71274948120117}
{'fvalues': 86.7917359417294, 'time_values': 38.63483810424805}
{'fvalues': -100.14742995598262, 'time_values': 38.6132926940918}
{'fvalues': -21.022542559466252, 'time_values': 38.718509674072266}
{'fvalues': -154.12557688920373, 'time_values': 38.84174346923828}
{'fvalues': 2.606581549978064, 'time_values': 37.65371322631836}
{'fvalues': -362.0134849175313, 'time_values': 37.625972747802734}
{'fvalues': -82.32304209935877, 'time_values': 38.040306091308594}
{'fvalues': -225.41920007413546, 'time_values': 37.88531494140625}
{'fvalues': -86.50948031241906, 'time_values': 38.02358627319336}
{'fvalues': -32.99208260134512, 'time_values': 38.70531463623047}
{'fvalues': -172.66283093324606, 'time_values': 38.57713317871094}
{'fvalues': -85.5431738456418, 'time_values': 38.581233978271484}
{'fvalues': 7.908306593104018, 'time_values': 36.59825134277344}
{'fvalues': -247.1395731247618, 'time_values': 38.40361404418945}
{'fvalues': -224.6358565855301, 'time_values': 38.683128356933594}
{'fvalues': -240.50632078357458, 'time_values': 38.747196197509766}
{'fvalues': -279.80526930819053, 'time_values': 38.620113372802734}
{'fvalues': -112.47473939449253, 'time_values': 38.88405990600586}
{'fvalues': -17.686955664535184, 'time_values': 38.72630310058594}
{'fvalues': -171.8675787768233, 'time_values': 38.81746292114258}
{'fvalues': -12.055154060554587, 'time_values': 38.56880569458008}
{'fvalues': 31.49238070381014, 'time_values': 38.70484924316406}
{'fvalues': 60.96220908205993, 'time_values': 37.93764114379883}
{'fvalues': -135.45844938275079, 'time_values': 37.82352066040039}
{'fvalues': 122.41315948411453, 'time_values': 38.474613189697266}
{'fvalues': -100.77687063698835, 'time_values': 38.72521209716797}
{'fvalues': -80.86088260638027, 'time_values': 38.22932052612305}
{'fvalues': -30.375144203268828, 'time_values': 36.7365608215332}
{'fvalues': -26.97076824875626, 'time_values': 38.47566604614258}
{'fvalues': -113.54385668609036, 'time_values': 38.68840408325195}
{'fvalues': -196.7738420495197, 'time_values': 38.5621337890625}
{'fvalues': 93.01716309449175, 'time_values': 38.68446731567383}
{'fvalues': -197.59986242719575, 'time_values': 38.663761138916016}
{'fvalues': -161.81956315607698, 'time_values': 38.81800079345703}
{'fvalues': 30.926585607885727, 'time_values': 38.78318405151367}
{'fvalues': -156.36141361222755, 'time_values': 38.78289031982422}
{'fvalues': -3.993694343138479, 'time_values': 38.71394348144531}
{'fvalues': -37.3988634567767, 'time_values': 38.377689361572266}
{'fvalues': -210.31460808589492, 'time_values': 37.98509979248047}
{'fvalues': 20.649685376909463, 'time_values': 38.69146728515625}
{'fvalues': 36.025635271274254, 'time_values': 38.644649505615234}
{'fvalues': -136.9401464872027, 'time_values': 37.65454864501953}
{'fvalues': -178.1293499122367, 'time_values': 37.44975662231445}
{'fvalues': -359.77904550797905, 'time_values': 38.652069091796875}
{'fvalues': -186.08355986847857, 'time_values': 38.56607437133789}
{'fvalues': -154.38322931269235, 'time_values': 38.61268615722656}
{'fvalues': -8.60729399770553, 'time_values': 38.61622619628906}
{'fvalues': 5.806940059612446, 'time_values': 38.73280334472656}
{'fvalues': 124.89726833996251, 'time_values': 38.622196197509766}
{'fvalues': 175.77978332746315, 'time_values': 38.637901306152344}
{'fvalues': 203.73101760653597, 'time_values': 38.67170715332031}
{'fvalues': -36.97926337679682, 'time_values': 38.55854034423828}
{'fvalues': -171.3153388282222, 'time_values': 38.2015266418457}
{'fvalues': -299.38751233709615, 'time_values': 38.025352478027344}
{'fvalues': -221.24121304205883, 'time_values': 38.44551467895508}
{'fvalues': -80.12115464271506, 'time_values': 38.53863525390625}
{'fvalues': -51.45327834714837, 'time_values': 37.19358444213867}
{'fvalues': -215.3689516529573, 'time_values': 37.64643859863281}
{'fvalues': -124.36369375461119, 'time_values': 37.6890754699707}
{'fvalues': -95.9512916902544, 'time_values': 37.7795524597168}
{'fvalues': -265.25857671532964, 'time_values': 38.537139892578125}
{'fvalues': -153.72143167934877, 'time_values': 38.71124267578125}
{'fvalues': -137.5501816232505, 'time_values': 38.62225341796875}
{'fvalues': -188.26663937428353, 'time_values': 38.80006790161133}
{'fvalues': -181.09694548020093, 'time_values': 38.69561004638672}
{'fvalues': -235.5679350406353, 'time_values': 38.84224319458008}
{'fvalues': -26.273902739681724, 'time_values': 38.703163146972656}
{'fvalues': -2.1729990622721296, 'time_values': 38.27680969238281}
{'fvalues': 334.75413786241216, 'time_values': 38.44050598144531}
{'fvalues': -181.8465075894272, 'time_values': 38.641990661621094}
{'fvalues': 2.276845803590836, 'time_values': 38.38959503173828}
{'fvalues': -190.24282544880685, 'time_values': 38.28323745727539}
{'fvalues': 62.971808088949125, 'time_values': 38.566871643066406}
{'fvalues': -109.71084769466506, 'time_values': 38.87397003173828}
{'fvalues': -40.19951791309632, 'time_values': 38.109413146972656}
{'fvalues': 94.35592434156902, 'time_values': 37.883880615234375}
{'fvalues': -298.29287409542684, 'time_values': 37.979209899902344}
{'fvalues': 128.49520376047806, 'time_values': 38.12077331542969}
{'fvalues': -46.71232516744185, 'time_values': 38.31652069091797}
{'fvalues': -87.24430364846515, 'time_values': 38.768333435058594}
{'fvalues': -378.61292310429627, 'time_values': 38.76839065551758}
{'fvalues': -237.09822370659634, 'time_values': 38.550899505615234}
{'fvalues': -44.53665027723043, 'time_values': 37.815895080566406}
{'fvalues': -275.628784257913, 'time_values': 37.929962158203125}
{'fvalues': -100.28433524476598, 'time_values': 38.01740264892578}
{'fvalues': -222.87115158136643, 'time_values': 37.779396057128906}
{'fvalues': -118.44440419730266, 'time_values': 36.612396240234375}
{'fvalues': 44.574852785374425, 'time_values': 38.806949615478516}
{'fvalues': -311.9049857856041, 'time_values': 38.716922760009766}
{'fvalues': -134.65392457579233, 'time_values': 38.7682991027832}
{'fvalues': -19.754305508258334, 'time_values': 38.776397705078125}
{'fvalues': -17.33180438272887, 'time_values': 38.796260833740234}
{'fvalues': 54.55301168889922, 'time_values': 38.053611755371094}
{'fvalues': -138.45755851992655, 'time_values': 37.73507308959961}
{'fvalues': -216.51161225541432, 'time_values': 37.621524810791016}
{'fvalues': -167.72685670420356, 'time_values': 37.79753875732422}
{'fvalues': -251.7223513796212, 'time_values': 38.05813980102539}
{'fvalues': -100.68017728484025, 'time_values': 38.26658630371094}
{'fvalues': -18.693294393508776, 'time_values': 38.033843994140625}
{'fvalues': -47.58473543639713, 'time_values': 38.068336486816406}
{'fvalues': -293.03927793658346, 'time_values': 36.452701568603516}
{'fvalues': -314.6975948813537, 'time_values': 35.015533447265625}
{'fvalues': -234.93864112474242, 'time_values': 36.087242126464844}
{'fvalues': -64.55002447731812, 'time_values': 38.1340217590332}
{'fvalues': -106.79151519297493, 'time_values': 37.90520477294922}
{'fvalues': -148.40281019240126, 'time_values': 38.14497756958008}
{'fvalues': -116.87711462644853, 'time_values': 37.876739501953125}
{'fvalues': -143.4616965184748, 'time_values': 37.93373489379883}
{'fvalues': -107.31529976947665, 'time_values': 37.69804000854492}
{'fvalues': -283.48464487880756, 'time_values': 37.83562088012695}
{'fvalues': -67.23741841280665, 'time_values': 37.97295379638672}
{'fvalues': -232.67793505150146, 'time_values': 37.71436309814453}
{'fvalues': -280.14658707587347, 'time_values': 38.043678283691406}
{'fvalues': -227.14555931370177, 'time_values': 38.74554443359375}
{'fvalues': 119.05638391587443, 'time_values': 38.861656188964844}
{'fvalues': -240.6185062686192, 'time_values': 38.608741760253906}
{'fvalues': -100.30856617765973, 'time_values': 37.054290771484375}
{'fvalues': -57.646362507377795, 'time_values': 38.15228271484375}
{'fvalues': -267.970014351828, 'time_values': 38.89580535888672}
{'fvalues': 53.17774718510272, 'time_values': 38.840843200683594}
{'fvalues': 40.04361680548532, 'time_values': 38.770503997802734}
{'fvalues': -81.42839331138778, 'time_values': 38.687896728515625}
{'fvalues': -38.259421011354796, 'time_values': 38.828041076660156}
{'fvalues': -65.40938630967361, 'time_values': 38.81934356689453}
{'fvalues': -274.4756481178562, 'time_values': 38.80757522583008}
{'fvalues': -93.4834489497197, 'time_values': 38.832115173339844}
{'fvalues': 91.54675624159825, 'time_values': 38.52651596069336}
{'fvalues': -191.43845650820475, 'time_values': 37.77621078491211}
{'fvalues': 24.922973299620555, 'time_values': 38.58393478393555}
{'fvalues': -8.468375831092924, 'time_values': 38.796852111816406}
{'fvalues': -328.44325749028883, 'time_values': 38.18141555786133}
{'fvalues': -131.86063085769257, 'time_values': 36.678558349609375}
{'fvalues': -20.298956043276572, 'time_values': 37.18034362792969}
{'fvalues': 191.72453767934005, 'time_values': 38.80155944824219}
{'fvalues': -135.48899175811258, 'time_values': 38.83127975463867}
{'fvalues': -115.09054898025126, 'time_values': 38.77391052246094}
{'fvalues': -147.7389794922573, 'time_values': 38.59029769897461}
{'fvalues': 30.009523116508014, 'time_values': 38.67027282714844}
{'fvalues': -132.13671201388183, 'time_values': 38.71101760864258}
{'fvalues': -397.8609435225732, 'time_values': 38.636295318603516}
{'fvalues': -286.0949190983562, 'time_values': 38.73735809326172}
{'fvalues': 173.13273028738632, 'time_values': 38.86648941040039}
{'fvalues': -363.72603991379464, 'time_values': 38.56803894042969}
{'fvalues': -7.645729294461603, 'time_values': 38.162315368652344}
{'fvalues': -325.71696615797475, 'time_values': 38.82197952270508}
{'fvalues': -49.268620788388134, 'time_values': 38.69390106201172}
{'fvalues': -37.038130617112316, 'time_values': 37.11299514770508}
{'fvalues': -451.4474909547819, 'time_values': 36.18675231933594}
{'fvalues': 72.90367639817845, 'time_values': 38.75621032714844}
{'fvalues': -133.02019134407684, 'time_values': 38.81951141357422}
{'fvalues': 17.33146462592205, 'time_values': 38.72928237915039}
{'fvalues': -32.86075263777374, 'time_values': 38.75888442993164}
{'fvalues': -329.7291109782382, 'time_values': 38.72169876098633}
{'fvalues': -246.71866762181241, 'time_values': 38.84611511230469}
{'fvalues': -21.576735454010525, 'time_values': 38.803504943847656}
{'fvalues': -249.987981547486, 'time_values': 38.79220962524414}
{'fvalues': -17.990805148212253, 'time_values': 38.783329010009766}
{'fvalues': -36.59927613358134, 'time_values': 38.46915054321289}
{'fvalues': -4.495083303563882, 'time_values': 38.3563232421875}
{'fvalues': 96.60151213547636, 'time_values': 38.908897399902344}
{'fvalues': 18.615505103082548, 'time_values': 38.80344772338867}
{'fvalues': -286.74535000917234, 'time_values': 37.2286376953125}
{'fvalues': -374.2587204908798, 'time_values': 37.41089630126953}
{'fvalues': 57.815850879390496, 'time_values': 38.6908073425293}
{'fvalues': -309.5220688774271, 'time_values': 38.746665954589844}
{'fvalues': -95.80595560574329, 'time_values': 38.8261604309082}
{'fvalues': 1.6119295782608385, 'time_values': 38.802757263183594}
{'fvalues': -158.2927096419109, 'time_values': 38.79876708984375}
{'fvalues': -57.94663622214776, 'time_values': 38.69422912597656}
{'fvalues': -167.0949346049433, 'time_values': 38.75859832763672}
{'fvalues': -217.3009456012322, 'time_values': 38.79163360595703}
{'fvalues': -150.02290314009517, 'time_values': 38.89373016357422}
{'fvalues': -122.56032393196708, 'time_values': 38.45447540283203}
{'fvalues': -66.70328376023683, 'time_values': 38.85075759887695}
{'fvalues': 50.822899968845846, 'time_values': 38.929141998291016}
{'fvalues': -58.100194250864185, 'time_values': 38.7901611328125}
{'fvalues': -186.31113242555674, 'time_values': 37.00674057006836}
{'fvalues': -183.0895928442076, 'time_values': 37.29917526245117}
{'fvalues': -248.2325767223141, 'time_values': 37.570838928222656}
{'fvalues': -87.74499452385118, 'time_values': 37.59664535522461}
{'fvalues': -244.96808150444306, 'time_values': 38.426475524902344}
{'fvalues': 45.051051696834584, 'time_values': 38.65666198730469}
{'fvalues': -267.2264860896101, 'time_values': 38.7530632019043}
{'fvalues': 136.55541067164148, 'time_values': 38.83820343017578}
{'fvalues': -137.68428257887768, 'time_values': 38.800567626953125}
{'fvalues': -259.4014885605782, 'time_values': 38.79277420043945}
{'fvalues': -31.509662346080486, 'time_values': 38.476722717285156}
{'fvalues': -160.38894548025806, 'time_values': 38.29820251464844}
{'fvalues': -155.61646893669166, 'time_values': 38.49250030517578}
{'fvalues': -308.82704115081947, 'time_values': 38.82666015625}
{'fvalues': 14.17694674749485, 'time_values': 38.863487243652344}
{'fvalues': -98.1390123324527, 'time_values': 38.42910385131836}
{'fvalues': -160.19834551696513, 'time_values': 38.379940032958984}
{'fvalues': 153.53365742018894, 'time_values': 38.73731994628906}
{'fvalues': -28.959683417164634, 'time_values': 38.41858673095703}
{'fvalues': -145.12794885152897, 'time_values': 38.862003326416016}
{'fvalues': -55.885368391019355, 'time_values': 38.73126220703125}
{'fvalues': -56.63821842243745, 'time_values': 38.78933334350586}
{'fvalues': -227.5181951428123, 'time_values': 38.76304626464844}
{'fvalues': -34.08371742101781, 'time_values': 38.771705627441406}
{'fvalues': -377.4309434736363, 'time_values': 38.724388122558594}
{'fvalues': -368.6587133209412, 'time_values': 38.654075622558594}
{'fvalues': -336.19035619689004, 'time_values': 37.824424743652344}
{'fvalues': -259.2853555022838, 'time_values': 38.385032653808594}
{'fvalues': 35.9747111381672, 'time_values': 38.69017028808594}
{'fvalues': -207.1670108903582, 'time_values': 38.92424011230469}
{'fvalues': 13.576117524017098, 'time_values': 38.26084518432617}
{'fvalues': -245.15011097989102, 'time_values': 38.72991943359375}
{'fvalues': -238.81644262409225, 'time_values': 38.28352737426758}
