{'fvalues': -2686.0041096387686, 'time_values': 2041.5853271484375}
{'fvalues': -2528.0536753154565, 'time_values': 2042.276123046875}
{'fvalues': -2533.4155565453516, 'time_values': 2043.0484619140625}
{'fvalues': -2447.3039537799623, 'time_values': 2037.08154296875}
{'fvalues': -2465.222155405324, 'time_values': 2037.4906005859375}
{'fvalues': -2578.4774600763963, 'time_values': 2041.9556884765625}
{'fvalues': -2491.999014184049, 'time_values': 2043.5223388671875}
{'fvalues': -2556.755236033365, 'time_values': 2038.1514892578125}
{'fvalues': -2612.386659997008, 'time_values': 2031.9720458984375}
{'fvalues': -2974.806255663607, 'time_values': 2035.3157958984375}
