{'fvalues': 698.4940332919983, 'time_values': 20.62314224243164}
{'fvalues': 704.811514648829, 'time_values': 15.375236511230469}
{'fvalues': 700.3813983436196, 'time_values': 15.330831527709961}
{'fvalues': 692.8824993577626, 'time_values': 15.390604972839355}
{'fvalues': 703.0043915345171, 'time_values': 15.32118034362793}
{'fvalues': 708.4086684177134, 'time_values': 15.157110214233398}
{'fvalues': 680.6964871333131, 'time_values': 15.261821746826172}
{'fvalues': 678.5982891183559, 'time_values': 15.34422492980957}
{'fvalues': 682.5795467067186, 'time_values': 15.652214050292969}
{'fvalues': 681.7060486042052, 'time_values': 15.355239868164062}
{'fvalues': 791.3640880134216, 'time_values': 6.408611297607422}
{'fvalues': 788.9993114796608, 'time_values': 6.367015838623047}
{'fvalues': 801.59086104627, 'time_values': 6.222591400146484}
{'fvalues': 798.1611534710858, 'time_values': 6.398937225341797}
{'fvalues': 794.4376547717078, 'time_values': 6.382838249206543}
{'fvalues': 799.0109261570515, 'time_values': 6.3799591064453125}
{'fvalues': 785.8771950007238, 'time_values': 6.356331825256348}
{'fvalues': 797.4566806365639, 'time_values': 6.390176296234131}
{'fvalues': 803.1282524888211, 'time_values': 6.412896633148193}
{'fvalues': 789.1810885092782, 'time_values': 6.388019561767578}
{'fvalues': 981.9656474498557, 'time_values': 5.447112083435059}
{'fvalues': 979.8792414167864, 'time_values': 5.439394950866699}
{'fvalues': 981.5618741833866, 'time_values': 5.475006103515625}
{'fvalues': 980.4600450748686, 'time_values': 5.442057132720947}
{'fvalues': 981.2671023822124, 'time_values': 5.451193809509277}
{'fvalues': 982.785396715175, 'time_values': 5.458725929260254}
{'fvalues': 977.6090854301134, 'time_values': 5.417544841766357}
{'fvalues': 981.7277930119207, 'time_values': 5.284550666809082}
{'fvalues': 978.9384148531308, 'time_values': 5.420235633850098}
{'fvalues': 979.8539434740429, 'time_values': 5.428046226501465}
{'fvalues': 284.95688186035557, 'time_values': 15.47401237487793}
{'fvalues': 293.47862419724777, 'time_values': 15.536153793334961}
{'fvalues': 287.9960621718926, 'time_values': 15.493536949157715}
{'fvalues': 292.16561436622084, 'time_values': 15.550762176513672}
{'fvalues': 290.96488427772744, 'time_values': 15.274578094482422}
{'fvalues': 286.7674284010673, 'time_values': 15.392167091369629}
