{'fvalues': -320.87970408113625, 'time_values': 462.7533264160156}
{'fvalues': -321.2025267845484, 'time_values': 457.1963806152344}
{'fvalues': -130.4058535227502, 'time_values': 458.50927734375}
{'fvalues': -317.6078742844929, 'time_values': 458.1708679199219}
{'fvalues': -101.59321140390935, 'time_values': 457.7983093261719}
{'fvalues': -213.4042460782849, 'time_values': 457.3720703125}
{'fvalues': -23.397019797071433, 'time_values': 458.42816162109375}
{'fvalues': -365.4090865277652, 'time_values': 458.216552734375}
{'fvalues': -172.8863096536948, 'time_values': 459.4695129394531}
{'fvalues': -382.41359887470776, 'time_values': 458.129150390625}
