{'fvalues': 798.0503844599453, 'time_values': 12.805898666381836}
{'fvalues': 980.3708335241723, 'time_values': 5.744246482849121}
{'fvalues': 979.733034478281, 'time_values': 5.80056095123291}
{'fvalues': 979.9705693720962, 'time_values': 5.712713718414307}
{'fvalues': 980.0320972014848, 'time_values': 5.783685684204102}
{'fvalues': 979.5560886197511, 'time_values': 5.725710868835449}
{'fvalues': 979.9545071895428, 'time_values': 5.75037956237793}
{'fvalues': 980.075716062027, 'time_values': 5.758252143859863}
{'fvalues': 980.1201999084119, 'time_values': 5.725148677825928}
{'fvalues': 980.0439499441251, 'time_values': 5.758653163909912}
{'fvalues': 979.746084174507, 'time_values': 5.704587459564209}
{'fvalues': 998.0032226532273, 'time_values': 6.497748851776123}
{'fvalues': 998.0223744302077, 'time_values': 6.442350387573242}
{'fvalues': 998.0365509871199, 'time_values': 6.605197906494141}
{'fvalues': 997.9864887976948, 'time_values': 6.507730960845947}
{'fvalues': 998.0065678359208, 'time_values': 6.498578071594238}
{'fvalues': 998.0044527583412, 'time_values': 6.537869930267334}
{'fvalues': 997.9747617090479, 'time_values': 6.4799652099609375}
{'fvalues': 998.0016433529142, 'time_values': 6.453701019287109}
{'fvalues': 997.9837989015829, 'time_values': 6.493891716003418}
{'fvalues': 998.022252863478, 'time_values': 6.512165069580078}
{'fvalues': 796.9521512148714, 'time_values': 12.728120803833008}
{'fvalues': 795.4682995389884, 'time_values': 12.848284721374512}
{'fvalues': 795.8871866203839, 'time_values': 12.721689224243164}
{'fvalues': 795.838137474002, 'time_values': 12.721267700195312}
{'fvalues': 799.7870539111128, 'time_values': 12.883502006530762}
{'fvalues': 798.8229086460941, 'time_values': 12.657583236694336}
{'fvalues': 798.1217962094584, 'time_values': 12.688735961914062}
{'fvalues': 799.5328034936997, 'time_values': 12.705301284790039}
{'fvalues': 796.2596852602152, 'time_values': 12.740577697753906}
{'fvalues': 797.6615111891823, 'time_values': 12.705081939697266}
{'fvalues': 979.9159027599153, 'time_values': 5.7708845138549805}
{'fvalues': 979.6040362690879, 'time_values': 5.780946254730225}
{'fvalues': 979.7290099480897, 'time_values': 5.784255027770996}
