{'fvalues': -167.90103064157273, 'time_values': 371.5783386230469}
{'fvalues': -289.97635296288956, 'time_values': 365.3897705078125}
{'fvalues': -360.6439422436117, 'time_values': 365.8621826171875}
{'fvalues': -328.38658749060215, 'time_values': 365.8536376953125}
{'fvalues': -312.65748544133936, 'time_values': 367.1874694824219}
{'fvalues': -382.3531835569585, 'time_values': 365.7996826171875}
{'fvalues': -333.30117407582304, 'time_values': 367.11871337890625}
{'fvalues': -596.175256238097, 'time_values': 364.61669921875}
{'fvalues': -225.87614911863955, 'time_values': 367.64697265625}
{'fvalues': -461.3228670903444, 'time_values': 365.93951416015625}
