{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 100, 'mu': 1e-08, 'sample_size': 10, 'step_schedule': 'constant'}, 'iterations': 5000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 269.7128464825666, 'time_values': 15.670557022094727}
{'fvalues': 263.4313185678025, 'time_values': 15.635555267333984}
{'fvalues': 263.1910151875561, 'time_values': 15.754280090332031}
{'fvalues': 267.0646081382442, 'time_values': 15.713384628295898}
{'fvalues': 263.1662979346816, 'time_values': 15.735503196716309}
{'fvalues': 266.5728659843649, 'time_values': 15.847274780273438}
{'fvalues': 267.9537053057857, 'time_values': 15.790790557861328}
{'fvalues': 261.6640075025323, 'time_values': 15.516467094421387}
{'fvalues': 265.39086414608414, 'time_values': 15.682241439819336}
{'fvalues': 267.4082463770374, 'time_values': 15.800992012023926}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 100, 'mu': 1e-08, 'sample_size': 100, 'step_schedule': 'constant'}, 'iterations': 500, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 496.2674153631853, 'time_values': 13.178454399108887}
{'fvalues': 499.86318960625107, 'time_values': 13.757725715637207}
{'fvalues': 499.9312763607967, 'time_values': 13.809231758117676}
{'fvalues': 498.1351504469081, 'time_values': 13.388822555541992}
{'fvalues': 497.70509744774097, 'time_values': 13.298673629760742}
{'fvalues': 497.2049019793901, 'time_values': 13.710771560668945}
{'fvalues': 500.8981968210967, 'time_values': 13.601173400878906}
{'fvalues': 497.9531396516569, 'time_values': 13.450874328613281}
{'fvalues': 503.0038965965278, 'time_values': 13.481901168823242}
{'fvalues': 500.58283490964584, 'time_values': 13.751144409179688}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.0001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 685.7169622541979, 'time_values': 37.55841064453125}
{'fvalues': 640.2145482052329, 'time_values': 37.798927307128906}
{'fvalues': 692.1791505053661, 'time_values': 37.896358489990234}
{'fvalues': 643.5050292632146, 'time_values': 37.76579284667969}
{'fvalues': 649.5137301148825, 'time_values': 37.72037887573242}
{'fvalues': 675.0091432563213, 'time_values': 38.048587799072266}
{'fvalues': 691.0996844545864, 'time_values': 38.06461715698242}
{'fvalues': 675.7824413102427, 'time_values': 37.72471237182617}
{'fvalues': 657.6022376052912, 'time_values': 37.89521408081055}
