{'fvalues': -534.8438108618783, 'time_values': 422.0215759277344}
{'fvalues': -411.14114579218733, 'time_values': 417.9668884277344}
{'fvalues': -389.942517322298, 'time_values': 416.00457763671875}
{'fvalues': -441.31527753220803, 'time_values': 418.2251281738281}
{'fvalues': -439.93575861781153, 'time_values': 417.18878173828125}
{'fvalues': -425.50987482468935, 'time_values': 417.1823425292969}
{'fvalues': -242.1809674013875, 'time_values': 417.19940185546875}
{'fvalues': -209.08243947952383, 'time_values': 417.9700622558594}
{'fvalues': -311.6109972455687, 'time_values': 414.6071472167969}
{'fvalues': -657.8196927960082, 'time_values': 413.1851806640625}
