{'fvalues': -97.66076864690729, 'time_values': 51.917724609375}
{'fvalues': -296.5523985850602, 'time_values': 45.77251052856445}
{'fvalues': -254.63733642283069, 'time_values': 45.44155502319336}
{'fvalues': -26.361534022342695, 'time_values': 45.42951583862305}
{'fvalues': -93.34611935985797, 'time_values': 45.416587829589844}
{'fvalues': -109.66565033255526, 'time_values': 45.45132827758789}
{'fvalues': 122.27216654265311, 'time_values': 45.61949157714844}
{'fvalues': -157.63631212001772, 'time_values': 45.55489730834961}
{'fvalues': 142.83921247345089, 'time_values': 45.4007453918457}
{'fvalues': -125.55842748115828, 'time_values': 45.44578170776367}
{'fvalues': -94.39821231321149, 'time_values': 43.97150421142578}
{'fvalues': -142.7470573992471, 'time_values': 43.881858825683594}
{'fvalues': 160.51666220878943, 'time_values': 45.49077606201172}
{'fvalues': -48.2149879586425, 'time_values': 45.73383712768555}
{'fvalues': -345.9841898942232, 'time_values': 45.4459228515625}
{'fvalues': -306.8440692231042, 'time_values': 45.395565032958984}
{'fvalues': -98.81476441781457, 'time_values': 45.424198150634766}
{'fvalues': -0.5875261005237, 'time_values': 45.32634353637695}
{'fvalues': -50.263687269478226, 'time_values': 45.38929748535156}
{'fvalues': -309.243129226075, 'time_values': 45.64948654174805}
{'fvalues': -385.06960175024403, 'time_values': 45.471275329589844}
{'fvalues': -228.60231972115497, 'time_values': 45.40879440307617}
{'fvalues': -7.80957876085323, 'time_values': 45.40620422363281}
{'fvalues': -76.29744732531152, 'time_values': 44.253421783447266}
{'fvalues': -204.44175344902786, 'time_values': 44.36676788330078}
{'fvalues': -357.70152010552147, 'time_values': 44.772239685058594}
{'fvalues': -46.70522689548245, 'time_values': 45.136531829833984}
{'fvalues': -103.89221494034861, 'time_values': 45.597618103027344}
{'fvalues': -287.2048659165232, 'time_values': 45.56874465942383}
{'fvalues': -145.63333112795834, 'time_values': 45.496097564697266}
{'fvalues': 90.79227130818369, 'time_values': 45.34286117553711}
{'fvalues': -292.5061677066337, 'time_values': 45.53767395019531}
{'fvalues': -482.61517893708316, 'time_values': 45.59255599975586}
{'fvalues': -113.06280783516557, 'time_values': 45.41218185424805}
{'fvalues': -24.640723059058875, 'time_values': 45.43564987182617}
{'fvalues': -92.92964985652125, 'time_values': 45.33237838745117}
{'fvalues': 93.86440315241411, 'time_values': 45.4234733581543}
{'fvalues': -217.65046248528432, 'time_values': 45.4072151184082}
{'fvalues': -244.0878893102671, 'time_values': 45.34226989746094}
{'fvalues': -378.4104857622888, 'time_values': 45.28406524658203}
{'fvalues': -106.20846728329978, 'time_values': 45.49345779418945}
